Date,MERVAL,FRAN,TECO2,GGAL,COME,ALUA,APBR,TS,PAMP,EDN,BMA,YPFD,
1/21/2019,35303.250000,161.300003,122.000000,125.449997,3.710000,18.600000,293.600006,467.850006,53.700001,51.700001,205.600006,596.500000,
1/18/2019,35100.449219,164.800003,123.300003,126.000000,3.690000,18.250000,293.250000,461.250000,54.000000,51.700001,203.350006,578.250000,
1/17/2019,34262.738281,163.000000,125.000000,119.150002,3.580000,18.049999,291.750000,449.649994,53.799999,51.950001,194.899994,563.250000,
1/16/2019,34048.019531,162.949997,122.699997,119.500000,3.400000,18.049999,284.950012,443.500000,53.799999,52.049999,190.550003,554.349976,
1/15/2019,33562.539063,155.899994,119.500000,117.500000,3.350000,17.799999,281.799988,432.750000,53.200001,50.200001,196.100006,532.349976,
1/14/2019,33771.238281,155.550003,118.300003,118.349998,3.430000,17.900000,285.000000,433.100006,53.000000,51.200001,197.800003,536.599976,
1/11/2019,33884.601563,157.350006,118.199997,120.199997,3.500000,18.450001,283.450012,438.950012,53.349998,51.400002,194.100006,549.700012,
1/10/2019,34167.449219,159.300003,119.949997,123.699997,3.500000,18.900000,288.200012,448.700012,53.500000,51.500000,194.500000,535.200012,
1/9/2019,33769.351563,156.500000,117.000000,120.500000,3.510000,19.049999,290.500000,448.500000,55.299999,51.599998,187.500000,538.500000,
1/8/2019,32914.878906,153.000000,115.000000,116.500000,3.510000,18.700001,286.000000,436.500000,53.799999,50.500000,184.000000,536.500000,
1/7/2019,33010.539063,152.000000,110.500000,117.500000,3.500000,18.299999,284.500000,428.500000,52.900002,50.400002,187.500000,539.000000,
1/4/2019,32303.050781,147.899994,115.800003,113.949997,3.460000,17.600000,276.899994,424.000000,52.950001,50.549999,174.199997,538.549988,
1/3/2019,31065.119141,140.550003,111.599998,107.900002,3.310000,17.500000,271.149994,408.000000,50.049999,49.599998,168.000000,518.500000,
1/2/2019,31096.630859,140.250000,116.000000,106.949997,3.400000,17.250000,266.000000,413.799988,50.150002,51.799999,166.250000,513.599976,
12/31/2018,30694.590820,140.750000,119.000000,103.300003,3.340000,17.299999,249.649994,410.600006,46.750000,50.950001,163.949997,502.149994,
12/28/2018,30292.550781,140.750000,119.000000,103.300003,3.340000,17.299999,249.649994,410.600006,46.750000,50.950001,163.949997,502.149994,
12/27/2018,29519.369141,139.699997,113.000000,100.500000,3.320000,18.100000,240.949997,406.100006,46.150002,50.799999,154.250000,502.100006,
12/26/2018,28473.439453,130.149994,107.900002,95.500000,3.210000,17.600000,238.100006,405.100006,44.849998,48.049999,144.399994,500.000000,
12/21/2018,28456.919922,130.449997,112.500000,96.449997,3.250000,17.600000,234.199997,402.299988,46.400002,47.299999,141.800003,476.600006,
12/20/2018,29242.750000,137.750000,112.000000,100.650002,3.360000,17.900000,244.350006,403.250000,46.400002,48.150002,146.649994,495.299988,
12/19/2018,29968.279297,141.050003,116.300003,102.599998,3.370000,18.250000,248.300003,416.549988,49.599998,49.750000,153.100006,505.600006,
12/18/2018,29777.259766,140.350006,121.000000,100.099998,3.370000,18.000000,247.350006,419.899994,49.099998,50.549999,151.899994,506.850006,
12/17/2018,29888.019531,135.250000,118.500000,98.000000,3.350000,17.799999,258.899994,424.700012,48.750000,50.650002,148.250000,523.750000,
12/14/2018,31109.449219,144.399994,124.050003,105.800003,3.380000,17.500000,257.000000,429.649994,51.349998,50.700001,160.399994,550.049988,
12/13/2018,31019.789063,145.000000,124.000000,104.849998,3.460000,17.700001,256.299988,437.850006,51.349998,50.099998,159.250000,540.000000,
12/12/2018,31081.369141,146.600006,125.000000,105.750000,3.500000,17.549999,255.699997,438.149994,50.950001,50.650002,157.750000,540.150024,
12/11/2018,30941.089844,149.000000,127.000000,105.900002,3.470000,17.850000,253.850006,431.899994,50.950001,49.799999,158.050003,539.750000,
12/10/2018,30753.539063,145.600006,123.949997,101.150002,3.570000,18.049999,256.049988,429.450012,51.299999,49.150002,156.199997,551.750000,
12/7/2018,31550.400391,149.550003,124.000000,103.599998,3.670000,18.150000,265.600006,433.950012,53.000000,49.500000,162.000000,561.150024,
12/6/2018,32019.839844,151.600006,130.800003,104.599998,3.700000,18.400000,265.299988,439.549988,55.049999,49.599998,167.399994,572.299988,
12/5/2018,31779.869141,145.050003,125.599998,101.349998,3.440000,18.500000,278.450012,444.850006,53.299999,49.900002,166.949997,590.299988,
12/4/2018,31958.330078,147.100006,125.000000,102.800003,3.420000,18.700001,276.000000,459.500000,54.700001,48.549999,169.750000,585.750000,
12/3/2018,31888.789063,151.949997,125.500000,103.250000,3.430000,19.000000,274.950012,459.649994,54.750000,48.700001,169.899994,572.250000,
11/30/2018,31685.684571,149.899994,129.899994,101.900002,3.460000,19.000000,268.700012,464.299988,53.750000,48.150002,169.850006,567.150024,
11/29/2018,31482.580078,149.899994,129.899994,101.900002,3.460000,19.000000,268.700012,464.299988,53.750000,48.150002,169.850006,567.150024,
11/28/2018,31138.660156,149.100006,134.000000,99.800003,3.390000,18.650000,275.799988,485.600006,50.950001,47.799999,167.800003,579.349976,
11/27/2018,30921.109375,147.149994,135.000000,97.199997,3.370000,18.500000,278.250000,475.799988,51.250000,47.549999,172.149994,562.849976,
11/26/2018,31131.869141,149.399994,136.000000,97.849998,3.410000,18.750000,265.750000,528.150024,51.200001,46.549999,171.149994,570.150024,
11/23/2018,30723.480469,148.899994,120.000000,97.300003,3.370000,19.100000,261.149994,495.000000,47.950001,46.099998,171.699997,560.250000,
11/22/2018,30274.509766,146.199997,120.000000,93.199997,3.370000,18.500000,261.049988,501.549988,46.900002,46.549999,170.000000,549.099976,
11/21/2018,30262.919922,146.949997,123.400002,93.449997,3.410000,18.049999,258.399994,499.450012,48.000000,47.400002,168.850006,547.200012,
11/20/2018,29714.679688,145.699997,123.900002,91.300003,3.380000,18.400000,254.250000,480.799988,46.250000,46.599998,159.800003,540.000000,
11/16/2018,31109.250000,151.000000,126.000000,96.099998,3.560000,18.600000,268.899994,509.149994,49.500000,45.450001,170.850006,574.049988,
11/15/2018,30473.820313,147.149994,124.099998,93.800003,3.450000,18.000000,261.950012,518.000000,48.849998,44.200001,164.199997,574.049988,
11/14/2018,29372.539063,136.949997,126.000000,88.949997,3.440000,17.950001,254.550003,509.750000,47.000000,41.549999,158.500000,550.000000,
11/13/2018,28543.429688,134.250000,123.000000,85.050003,3.400000,17.950001,251.449997,498.500000,44.200001,40.250000,151.300003,535.650024,
11/12/2018,29423.300781,138.550003,121.500000,87.900002,3.440000,18.100000,261.799988,511.700012,47.650002,41.500000,152.050003,562.750000,
11/9/2018,29912.490234,135.399994,126.250000,90.250000,3.510000,18.200001,265.799988,520.150024,49.349998,40.849998,155.399994,545.549988,
11/8/2018,30736.410156,141.000000,132.000000,94.050003,3.420000,18.650000,266.250000,533.250000,50.000000,42.549999,158.250000,561.700012,
11/7/2018,31404.689453,141.750000,134.050003,95.900002,3.540000,19.100000,276.950012,543.400024,50.150002,44.049999,160.399994,579.549988,
11/5/2018,31429.300781,145.050003,132.500000,96.099998,3.500000,18.549999,290.750000,548.650024,51.250000,44.549999,169.500000,577.950012,
11/2/2018,31419.259766,147.199997,132.500000,95.849998,3.600000,18.450001,286.600006,545.950012,51.049999,43.650002,171.800003,566.049988,
11/1/2018,31308.630859,141.750000,134.100006,95.449997,3.720000,18.400000,288.850006,549.849976,50.650002,42.750000,175.050003,564.650024,
10/31/2018,29491.109375,132.000000,129.899994,83.250000,3.560000,18.450001,290.899994,527.500000,47.700001,40.500000,159.350006,541.849976,
10/30/2018,29425.789063,134.149994,129.100006,84.199997,3.500000,18.000000,300.200012,536.799988,46.000000,40.049999,158.850006,547.950012,
10/29/2018,28898.240234,133.750000,127.500000,82.699997,3.490000,17.200001,286.350006,528.799988,45.549999,38.950001,154.899994,550.200012,
10/26/2018,29369.869141,133.600006,128.000000,84.949997,3.510000,18.200001,298.049988,545.150024,44.500000,39.500000,157.350006,554.950012,
10/25/2018,29334.990234,132.699997,123.500000,86.849998,3.620000,18.400000,287.049988,542.900024,44.049999,40.500000,156.600006,538.900024,
10/24/2018,28157.429688,128.300003,122.900002,82.750000,3.530000,18.650000,280.299988,536.200012,43.200001,39.049999,147.250000,499.899994,
10/23/2018,28359.720703,122.750000,124.000000,83.050003,3.500000,18.700001,287.850006,557.200012,43.150002,40.250000,140.500000,516.299988,
10/22/2018,28567.779297,120.099998,124.599998,83.400002,3.530000,19.000000,293.549988,575.200012,44.000000,41.150002,139.350006,519.599976,
